id,pnr,name,flight,seat,bags,checked_in,security,boarded,loyalty,fast_track,wheelchair,infant
328,6AWPCP,Brenda Moutou,EK704,3B,0,0,0,0,0,0,0,0
329,B1JBNF,Aditya Appadoo,EK704,10D,0,0,0,0,0,0,0,0
330,F54H95,Farhad Koonjul,EK704,51A,2,0,0,0,3,1,0,0
331,VI37TT,Eshan Bhugaloo,EK704,19F,1,0,0,0,0,0,0,0
332,CSPLQS,Vikram Hurloll,EK704,27B,0,0,0,0,0,0,0,1
333,62U0AU,Quentin Vydelingum,EK704,35B,2,0,0,0,0,0,0,0
334,YSFW7O,Priya Pillay,EK704,15H,1,0,0,0,0,0,0,0
335,UNP0BP,Fabrice Jugnauth,MK054,32B,0,0,0,0,2,1,0,0
336,HT021R,Ismael Toolsee,MK054,10C,1,0,0,0,0,0,0,0
337,W1P4SZ,Jessica Seetohul,MK054,23C,0,0,0,0,0,0,0,0
338,AEXUQG,Pravin Gungapersad,MK054,6D,2,0,0,0,0,0,0,0
339,8SHQUG,Patrice Imrith,4Z257,24F,0,0,0,0,0,0,0,0
340,62FQ05,Quentin Kissoondoyal,4Z257,25F,2,0,0,0,0,0,0,0
341,7TT92X,Laetitia Ah Kong,4Z257,20E,1,0,0,0,0,0,0,0
342,J18FYW,Sandrine Jugnauth,4Z257,15F,0,0,0,0,0,0,0,0
343,DTQ3WK,Dinesh Bhundoo,4Z257,16D,1,0,0,0,2,1,0,0
344,JGPJW0,Sandrine Li Ying Pin,MK032,24E,2,0,0,0,0,0,0,0
345,XHVWLN,Geeta Maunthrooa,MK032,2D,2,0,0,0,0,0,0,0
346,8O2V0T,Loic Vydelingum,MK032,54J,1,0,0,0,0,0,0,0
347,1VJ90Y,Anjali Narain,MK032,45D,1,0,0,0,0,0,0,0
348,3KRHF8,Thierry Perrine,MK032,21J,0,0,0,0,0,0,0,0
349,8H40HG,Ismael Quirin,MK032,11C,2,0,0,0,0,0,0,0
350,HM7WZI,Ismael Seetohul,MK032,54A,2,0,0,0,0,0,0,0
351,WMRHS5,Dinesh Mudhoo,MK032,9J,1,0,0,0,0,0,0,0
352,8LJYNS,Quentin Vydelingum,MK032,34G,2,0,0,0,0,0,0,0
353,42B194,Hansley Foolchand,MK032,33D,0,0,0,0,0,0,0,0
354,WUPWXB,Kavi Toolsee,MK032,4H,2,0,0,0,0,0,0,0
355,7YVMAV,Chandra Li Ying Pin,MK032,53A,1,0,0,0,0,0,0,0
356,4OQLGP,Kavi Nundlall,MK032,14F,2,0,0,0,1,0,0,0
357,7UYRP2,Bruno Bissessur,MK032,56B,2,0,0,0,0,0,0,0
358,4Y51YI,Clency Adrien,MK032,11H,1,0,0,0,0,0,0,0
359,1ULQDA,Olivier Bhugaloo,MK214,17F,2,0,0,0,0,0,0,0
360,DDE46D,Vikram Uteem,MK214,9B,1,0,0,0,1,0,0,1
361,FQAGTP,Lindsay Itoola,MK214,8F,1,0,0,0,2,1,0,0
362,S6NSPD,Yannick Sewnath,MK214,26B,1,0,0,0,0,0,0,0
363,DVOX0W,Eshan Kissoondoyal,MK056,49H,2,0,0,0,1,0,0,0
364,7RKNK1,Kiran Sewnath,MK056,35D,0,0,0,0,0,0,0,0
365,T70AB3,Doorgesh Uteem,MK056,26B,0,0,0,0,3,1,0,0
366,3U7ZKI,Rajesh Jhurry,MK056,51B,0,0,0,0,0,0,0,0
367,MDNM3J,Veronique Gujadhur,MK056,42C,0,0,0,0,0,0,0,0
368,PV4OG9,Vikram Hurdoyal,MK056,18H,2,0,0,0,0,0,0,0
369,I8JC8J,Zaheer Sunassee,MK056,58C,0,0,0,0,0,0,0,0
370,K3FUJJ,Estelle Mudhoo,MK056,49D,1,0,0,0,0,0,0,0
371,CW1J6H,Thierry Ah Kong,MK056,46J,0,0,0,0,0,0,0,0
372,283ZBD,Eshan Bhundoo,MK056,36F,2,0,0,0,3,1,0,0
373,BN2QC7,Priya Woodun,MK056,9A,0,0,0,0,0,0,0,0
374,DE1QXT,Bruno Li Ying Pin,MK056,57F,0,0,0,0,0,0,0,1
375,Z2W9XH,Krishen Sunassee,MK056,49D,1,0,0,0,0,0,0,0
